,rating,title,Review_text
0,5,Worked soon as I plugit in,I bought the 4tb Model for 99 bucks for my xbox 1x. Soon as I plugged it in it worked. The Seagate was very user friendly..I was transferring storage with in 1 minute of plug in for the price and 4tb Wow thats what I was looking for..Thanks Amazon for the price and shipping I had it 2 days after ordering it... With larger storage games coming out in 2023 your going to need a lot of storage on the Xbox...Very happy withthis purchase...Buy..Buy...Buy.
1,1,The single worst product ever produced.,"I bought my one touch device at staples. I loaded everything on it for storage and deleted it from my computer. 3 week go by and all my data is corrupted! Photos, documents all gone. Do not trust or buy this product if you want to use it as storage for anything important."
2,4,Works good but can be hacked easily.,Buy something more expensive. But they do work good.
3,1,Inaccurate Item Description,"The item description specifies that it's compatible with PC, Mac, and Playstation, etc. However, the drive I received is only compatible with a Chromebook or a PC. Faulty advertising that needs to be corrected."
4,1,Terrible,"Terrible won't connect to my laptop, Playstation or pc.Unreadable but clearly is on. Waste of money. Smfh"
5,1,Does not work with Mac OS Monterey (2022),"Don't bother if you are using a mac, previous tips in comments don't work (at least not any more). Not even detected with Disk Utility. Also feels like cheap flimsy plastic, the entire thing caves in with the slightest pressure."
6,5,PlayStation,"I use it on my PS4 and it’s great, I would recommend it’s worth the money I’ve had it for a while and it’s running great 10/10 !!"
7,5,Gift for my Son,Bought this as a gift for my Son for one of his gaming systems and he loves it. Said it works perfectly.
8,5,So far so good.,My old computer crashed and the hard drive died. I paid the money to have the files recovered from my old computer which was put on a 1 TB drive. I copied everything from that drive to this 2 TB drive. I'm very satisfied so far.
9,5,Great gift for any true gamer!,I had bought this for my son for his 13th birthday and he loves it. It was easy for him to connect and he started downloading all the games he could! Lol
10,3,Small but slow,"Drive worked and passed the tests that could be done, though official Seagate software isn't as good as other 3rd party stuff sadly. It's small but not the smallest out there. The biggest problem is it's very slow especially compared with the WD alternative though this actually works more than a week.If you get drives today, always get two and back everything up twice because they seem to fail more than they once did unfortunately."
11,1,Stopped working after awhile,"Hardrive stopped working after using it the other day, I don’t really think it should be sold if it can’t even last a year performing like every other basic hardrive."
12,5,Seagate Support is Excellent,"This EHD worked great right out of the box and was perfect for me needs.Until, unfortunately, the plug in jack got loose and I could no longer get a good connection to my laptop.It was still under warranty and had rescue service with it as well.I called Seagate support and they promptly sent me a paid label to return the drive.They emailed me when it was recieved and at each step in the process.Within 2 weeks, I had a new hard drive with all of my data recovered back to it.So good to know that the warranty did in fact work out when I needed it.I will be more careful plugging and unplugging in the future."
13,3,Drive failed,"Waited almost 2 years to review, without ever dropping or damaging in anyway, drive obtained the ability to summon from the depths of hell the click of death, drive no longer reads or operates in any form or fashion related to proper operationGreat drive very short lifespan"
14,2,Missing a full TB of space!,"I own more external storage devices. Non lose an entire Tb worth of space do to default formatting.I tried to reformat the drive still a full 1tb of space missing. That's not excusable, I would not recommend this product ."
15,4,Awesome,Great
16,5,Great back up!,"Great for backup of photos. As the saying goes one is none and two is one! A little on the noisy side, but for a back up it seems to do the job at a great price."
17,1,Failed when about 75% full.,Worked fine until I asked it to hold more than 4T.
18,5,Easy to use.,Just like any other drives on your laptop.
19,5,Great way to back up your Anything!,I bought this 8 tb ext hd to replace a 3 tb 2014 unit that died. It works much faster besides the additional 5 tb of storage. Highly recommend buying one of these.
20,5,Su servicio,"Me agrado mucho en tenerlo, aunque pensé que no llegaría, lo nesesito para guardar muchas cosas."
21,1,"They said this was ""like new"" lol","The media could not be loaded. Do NOT believe ""like new"" requested a refund within minutes if getting it."
22,5,superb exteriior storage,These are life savers for those of us who download a lot of photos or paperwork for projects that you like to transport to & from work and home.Recommended
23,5,High quality,"Great dependable, high quality. You will be grateful you bought"
24,2,Should of tested right when received it,Doesn’t work properly got from Amazon for my son he was out of state doesn’t work like should sadly
25,5,Go to,This is my go to external hard drive. Always works for me.
26,5,The price turned out to be more than what was displayed for this item.,I use this product to store my most important documents.
27,1,Beware Seagate Bearing Wares,"After buying this product, I'm left wondering if there's a difference between storage device companies or am I just experiencing bad luck. I had nothing but problems with Western Digital products, so I stopped buying from them. I tried Seagate and never had any problems up until now, so I bought this product and poured my extensive video collection (the product of over a decade of collecting) into it, figuring that because of its storage capacity i might never have to buy another device. As usual, i was pleased at first, but, after three months, it just up and failed. I now have to send the device to Seagate to see if the all the data can be recovered, which is not a sure thing. I'm sure others out there can sympathize with frustration and anxiety I'm currently experiencing. So, beware of this product; consider carefully before sinking your hard-earned money that may so cruelly disappoint you."
28,3,Bought as a gift,"Bought as a gift. Based on personal history, Seagate has been a good brand for many years so I purchased this one for my son. Appears to be very portable and durable for a hard drive. Price was very good for the data size capacity."
29,5,Finally some storage!,This is a Yule gift for my son. Can't wait for him to open it up. He will finally be able to have more than on game at a time on his console.
30,1,Not Reliable,I’m and videographer and I haven’t even had this for a week. It already crashed and I’ve lost all footage totaled to 6TB.
31,1,"too complicated to use, no live support","Product is not plug and play, very difficult to use with no live tech support. They have chat support but they cannot see your screen so it is very complicated to show them what is going on the computer."
32,5,Works as described,"My old Seagate or WD was making clicking noises which means it’s about to crap out.Fortunately I was able to transfer all my data to the new HD and I’m good for another few years, I hope."
33,2,sad and pathetic,Certainly NOT a gaming drive! I'm pretty certain I have floppies from the 80's that record data faster.I suggest finding either a defferent model of a different vendor.There is NOTHING 3.0 about this drive!
34,4,Ideal para tener respaldos en casa,He tenido buenas experiencias con Seagate.
35,5,"Small, compact, with lots of storage",Small and compact but has lots of storage.Easy to use.Didn't need tech support (the Seagate worked great after plugging into laptop) but I give this item 5 stars since it seems like a quality product.
36,1,No good,Purchased8/21 and 12/22 it no longer works very disappointed makes a humming flutter noise and cant retreive data now everything is lost
37,5,Giftfor family member,My son uses this with his PS3. He loves it!
38,5,Great drive,It was just what I needed to use with time machine to back up my computer.
39,3,Very Slow Transfer Rate - Perhaps My Cable?,"Connected this 8 TB hard drive with USB-C to Micro B, transfer rate up to 10Gbps.USB-C is connected to desktop and Micro B to Seagate hard drive.I transferred about 189 GB of data from my old hard drive to this new hard drive.The data transfer took about a whole day. The transfer speed didn't even reach 1MB.Maybe the data transfer file was too large.The drive is somewhat noisy when copying data.Anyway, I'm disappointed."
40,1,failed miserably,"the unit simply will not work after a short time of use, very dissapointed"
41,1,5TB 2.5 External Does Not Survive Long,"I got the 5tb 2.5 inch external drive hoping it would be good enough to sit quietly on my desk for occasional use. Well here we are 1 year and 3 months later. This this is 3 months out of protection and has an entire 321 hours of use and has failed miserably. Save yourself the heartache and just avoid seagate drives. I have stacks of failed seagate drives at this point, mostly the 1.5 and 2tb 3.5 inch drives. I'll be sticking with Hitachi and Western Digital from now on."
42,5,Works as advertised,Works as advertised
43,4,Does not have a USB input,"You need a separate cable to input from your phone. I needed something to backup my laptop and my phone and to move files between them when I don't have good internet, which is most of the time. Will review again when I get the right cord."
44,1,DO NOT BUY DRIVE FAILED IN 9 MONTHS,Maybe I got a dud because after a few months I started have occasional issues. All data was inexplicably lost and if I can even get the drive to open it immediately crashes when I open a folder.
45,5,storage capacity,liked everything
46,5,Works well,"Easy to use, very small and portable, when used it doesn't generate a lot of heat"
47,5,Works fine,"This is the second brand of external hard drive i have used, and it works as intended. USB 3.0 is fast to transfer files, it’s small, light, and portable."
48,5,So far so good!,This us my second 8tb.Thr first one had a faulty port so let's see if this one meets my daily needs.
49,5,Lots of storage,Have put a lot of different files and there is still a lot of space. Easy to use and transfer stuff. This being my first one has made it very simple.
50,5,Awesome!,It works perfectly!
51,1,Trash You will lose data,very slow. worked ok for a few years. Now I have bad 100+ ncorrectable sector count. lost some files. seagate is not to be trusted.
52,5,Took some set up time but so far so good,We have a Macbook.It was a little bit more complicated trying to format but we figured it out.Love the price for the memory.Hope this lasts with no issues!
53,5,It’s alright!!!,"It’s good, not much to say. It portable but for some reason mines a little slow putting in my game clips in it but overall would recommend"
54,3,Not actually 18TB,This drive actually has 16TB for storage.
55,5,Works great for Ps4,Been using this for my ps4 since they day I got it and it's worked perfectly just fine. If you're looking for A external for your consoles then this is a great option.
56,5,Great added storage for a great price,"I have an Xbox and wanted more storage and this was what I needed. Great item, great seller, great price. Def worth the money spent."
57,1,Incredibly slow write speed,I bought these drives to simply use as an affordable backup options for some video content. They were writing at USB 2.0 speeds. Copies that should only take 40 minutes were saying 5 plus hours. I purchased two drives and both were the same performance. I also plugged in alternative drives to see if it was a computer issue and tried on two computers. It is simply the drives. I do not recommend these to anyone.
58,5,Good drive,"These are quick and easy to use. Wish they where cheaper but you get what you pay for haha. They are really good about fixing problems too, at least in the past they have been. However times have changed"
59,5,External hard drive for Xbox One,A great hard drive for a Xbox One.It's It's spinninghard drive e but performs well a d 5tb for the $was a good deal.
60,5,Reliablity,Backing my lab top
61,1,JUNK LASTED TWO MONTHS,JUNK
